wild	야생의
wet	젖은
blind	눈먼
dumb	벙어리의
sharp	날카로운
terrible	끔찍한
grand	웅장한
homesick	향수에잠긴
bound	속박된
fat	살찐
thirsty	목마른
thin	엷은
gray	회색
famous	유명한
industrial	산업의
absent	결석한
flat	평평한
main	주요한
pass	지나가다
hand	주다
strange	이상한
pleasant	기분좋은
handsome	잘생긴
equal	~과같다
dear	친애하는
sweet	달콤한
dull	우둔한
weak	약한
bright	밝은
honest	정직한
understand	이해하다
become	~이되다
break	부수다
smoke	담배를피우다
lend	빌려주다
shut	닫다
sleep	자다
lay	눕히다
paint	그리다
lead	인도하다
certain	확실한
important	중요한
stormy	폭풍의
true	진실한
sad	슬픈
gay	명랑한
merry	즐거운
colorful	다채로운
wonderful	놀랄만한
peaceful	평화로운
fairly	꽤
mean	(형)비천한
fancy	공상
leisure	여가
additional	추가의
relief	경감
inspire	영감을주다
relieve	경감하다
sensitive	민감한
robber	강도
mighty	강력한
emphasize	강조하다
hostility	적개심
hostile	적개심을품은
incident	사건
sword	검
inspect	검사하다
fury	격노
consequence	결과
operation	경영
view	경치
alter	변경하다
succeeding	계속되는
property	고유성
inflexible	확고한
community	공동사회
vacant	공허한
widow	과부
practice	(명)실행
advertise	광고하다
destruction	파괴
destructive	파괴적인
pit	구덩이
lasting	영구적인
patriot	애국자
confirmed	굳어진
famine	굶주림
authority	권위자
precious	귀중한
electricity	전기
machinery	기계류
anniversary	기념일
selfishness	이기심
slam	꽝닫다
bundle	꾸러미
constant	끊임없는
emerge	나타나다
disaster	재난
acutely	날카롭게
abuse	남용하다
manly	남자다운
overflow	넘쳐흐르다
labour	노력
struggle	노력
endeavor	노력
slave	노예
expose	노출시키다
astonishing	놀라운
peasant	농부
instinct	본능
press	누르다
tremble	떨다
discourage	단념시키다
firmly	단단히
merely	단지
shorten	단축하다
cling	달라붙다
majority	대다수
respond	대답(반응)하다
absolutely	절대적으로
gamble	도박하다
dash	돌진하다
creature	동물
sympathy	동정(심)
